id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity_0_100,release_decade,mood_tags,instrumentalness,vocal_presence,replay_value
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2010s,bright|uplifting|weekend,0.08,0.92,0.86
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,69,2020s,focused|dreamy|late-night,0.74,0.31,0.79
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,2000s,driving|urgent|adrenaline,0.06,0.95,0.72
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,63,2020s,calm|rainy|study,0.81,0.18,0.75
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,84,2020s,motivated|energetic|victory,0.02,0.97,0.88
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,58,2010s,cosmic|meditative|floating,0.93,0.09,0.68
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,61,1990s,warm|lazy|sunlit,0.57,0.42,0.66
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,76,2010s,neon|nostalgic|cruising,0.36,0.64,0.84
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,71,2020s,focused|steady|productive,0.69,0.27,0.81
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,73,2010s,carefree|city-night|singalong,0.11,0.89,0.83
11,Velvet Letters,June Harbor,r&b,romantic,0.58,96,0.74,0.76,0.44,70,2000s,sensual|smooth|intimate,0.14,0.91,0.77
12,Trailside Gold,Cedar Mile,country,nostalgic,0.52,104,0.68,0.64,0.67,65,1990s,nostalgic|open-road|warmth,0.19,0.87,0.73
13,Glass Horizon,Auraline,classical,peaceful,0.21,58,0.62,0.18,0.97,55,1980s,tranquil|reflective|airy,0.98,0.04,0.61
14,Concrete Crown,North Avenue,hip-hop,confident,0.84,140,0.72,0.83,0.12,79,2010s,bold|swagger|streetwise,0.01,0.98,0.82
15,Iron Anthem,Red Static,metal,rebellious,0.95,168,0.41,0.47,0.03,68,2000s,ferocious|defiant|mosh,0.00,0.96,0.69
16,Ocean Lanterns,Marisol Wave,reggae,uplifting,0.63,88,0.79,0.77,0.55,67,1990s,breezy|optimistic|island,0.09,0.88,0.76
17,Front Porch Sky,Willow Thread,folk,melancholic,0.33,76,0.46,0.49,0.91,60,2010s,homespun|wistful|acoustic,0.22,0.83,0.64
18,City Pulse Afterdark,Luma District,house,euphoric,0.89,128,0.80,0.91,0.08,82,2020s,euphoric|club|midnight,0.18,0.58,0.90
19,Badlands Bloom,Saffron Run,blues,soulful,0.44,82,0.58,0.53,0.87,59,1970s,smoky|heartfelt|roadside,0.12,0.85,0.67
20,Prism Arcade,Kite Static,edm,festive,0.92,130,0.83,0.90,0.06,86,2020s,festival|bright|drop-heavy,0.09,0.66,0.91
21,Signal Hearts,Metro Bloom,k-pop,playful,0.81,122,0.86,0.87,0.16,88,2020s,flirty|glossy|hooky,0.03,0.96,0.92
22,Dust and Chrome,Railspur,americana,gritty,0.57,98,0.51,0.57,0.73,57,2000s,rugged|weathered|traveling,0.16,0.84,0.62
23,Temple of Sparks,Sol Current,funk,groovy,0.74,112,0.78,0.85,0.24,72,1970s,groovy|party|swagger,0.13,0.79,0.85
24,Winter Harbor Choir,North Glass,choral,serene,0.26,64,0.67,0.22,0.95,54,1980s,sacred|frosted|stillness,0.89,0.36,0.58
25,Cinder Alley Cipher,Static Verse,trap,aggressive,0.88,145,0.39,0.71,0.04,77,2020s,dark|tense|bass-heavy,0.00,0.97,0.74
